animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,agreement_state,n_trials,n_behavior_match,p_behavior_match,odds_behavior_match,n_acx_go,p_acx_go
G5A1,16/7,(Novice) 1b Categorization,,,True,,,,,,,,,,Both Go,49.0,7.0,0.14285714285714285,0.16666666666666666,,
G5A1,16/7,(Novice) 1b Categorization,,,True,,,,,,,,,,Both No-Go,39.0,28.0,0.717948717948718,2.5454545454545454,,
G5A1,16/7,(Novice) 1b Categorization,,,True,,,,,,,,,,Models disagree,62.0,32.0,0.5161290322580645,1.0666666666666667,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,,,,,,,,,,All trials,204.0,109.0,0.5343137254901961,1.1473684210526316,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,,,,,,,,,,Models agree (pooled),115.0,63.0,0.5478260869565217,1.2115384615384612,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,,,,,,,,,,Both Go,76.0,39.0,0.5131578947368421,1.0540540540540542,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,,,,,,,,,,Both No-Go,39.0,24.0,0.6153846153846154,1.6000000000000003,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,,,,,,,,,,Models disagree,89.0,46.0,0.5168539325842697,1.0697674418604652,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,,,,,,,,,,All trials,290.0,135.0,0.46551724137931033,0.8709677419354838,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,,,,,,,,,,Models agree (pooled),149.0,67.0,0.44966442953020136,0.8170731707317074,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,,,,,,,,,,Both Go,110.0,48.0,0.43636363636363634,0.7741935483870966,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,,,,,,,,,,Both No-Go,39.0,19.0,0.48717948717948717,0.9500000000000001,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,,,,,,,,,,Models disagree,141.0,68.0,0.48226950354609927,0.9315068493150686,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.07876684098121,10.0,1.0,0.0,7.0,0.1,0.0,0.7,False,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.1738949211927685,10.0,5.0,0.0,6.0,0.5,0.0,0.6,False,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.27741160893374,11.0,5.0,0.0,8.0,0.45454545454545453,0.0,0.7272727272727273,False,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.390056630435602,10.0,3.0,0.0,7.0,0.3,0.0,0.7,False,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.64602248543222,10.0,5.0,10.0,4.0,0.5,1.0,0.4,False,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.7911724409886975,11.0,6.0,11.0,6.0,0.5454545454545454,1.0,0.5454545454545454,False,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.9491220452647464,10.0,4.0,10.0,6.0,0.4,1.0,0.6,False,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,2.121,10.0,2.0,10.0,7.0,0.2,1.0,0.7,False,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.1738949211927685,5.0,5.0,0.0,3.0,1.0,0.0,0.6,True,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.27741160893374,5.0,5.0,0.0,3.0,1.0,0.0,0.6,True,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.64602248543222,5.0,0.0,5.0,3.0,0.0,1.0,0.6,True,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.7911724409886975,5.0,0.0,5.0,4.0,0.0,1.0,0.8,True,,,,,,,
