animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,expression,n_condition,n_go,n_nogo,p_go,p_nogo
G5A3,17/7,(Novice) 2b Categorization,,,False,P(Mouse=Go | OFC=Go),191,60,131,0.31413612565445026,0.6858638743455497
G5A3,17/7,(Novice) 2b Categorization,,,False,P(GroundTruth=Go | OFC=No-Go),108,48,60,0.4444444444444444,0.5555555555555556
G5A3,17/7,(Novice) 2b Categorization,,,False,P(GroundTruth=Go | OFC=Go),191,102,89,0.5340314136125655,0.46596858638743455
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,P(Mouse=Go | ACx=No-Go),176,54,122,0.3068181818181818,0.6931818181818181
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,P(Mouse=Go | ACx=Go),174,81,93,0.46551724137931033,0.5344827586206897
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,P(GroundTruth=Go | ACx=No-Go),176,53,123,0.30113636363636365,0.6988636363636364
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,P(GroundTruth=Go | ACx=Go),174,122,52,0.7011494252873564,0.29885057471264365
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,P(Mouse=Go | OFC=No-Go),145,54,91,0.3724137931034483,0.6275862068965516
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,P(Mouse=Go | OFC=Go),205,81,124,0.3951219512195122,0.6048780487804878
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,P(GroundTruth=Go | OFC=No-Go),145,74,71,0.5103448275862069,0.4896551724137931
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,P(GroundTruth=Go | OFC=Go),205,101,104,0.4926829268292683,0.5073170731707317
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,P(Mouse=Go | OFC=No-Go),130,61,69,0.46923076923076923,0.5307692307692308
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,P(Mouse=Go | OFC=Go),220,99,121,0.45,0.55
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,P(GroundTruth=Go | OFC=No-Go),130,70,60,0.5384615384615384,0.46153846153846156
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,P(GroundTruth=Go | OFC=Go),220,105,115,0.4772727272727273,0.5227272727272727
G7A1,28/10/2025,(Novice) FRA,,,False,P(Mouse=Go | OFC=No-Go),112,23,89,0.20535714285714285,0.7946428571428572
G7A1,28/10/2025,(Novice) FRA,,,False,P(Mouse=Go | OFC=Go),238,63,175,0.2647058823529412,0.7352941176470589
G7A1,28/10/2025,(Novice) FRA,,,False,P(GroundTruth=Go | OFC=No-Go),112,60,52,0.5357142857142857,0.4642857142857143
G7A1,28/10/2025,(Novice) FRA,,,False,P(GroundTruth=Go | OFC=Go),238,115,123,0.4831932773109244,0.5168067226890756
