animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,condition,acx_pred,ofc_pred,n_condition,n_mouse_go,n_mouse_nogo,p_mouse_go,p_mouse_nogo,n_gt_go,n_gt_nogo,p_gt_go,p_gt_nogo,stimulus,trials,n_acx_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,19.0,,0.6129032258064516,,31.0,,1.0,,0.837187400657122,31.0,19.0,0.6129032258064516,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,16.0,,0.5161290322580645,,31.0,,1.0,,0.9110124638462896,31.0,18.0,0.5806451612903226,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,42.0,,0.6774193548387096,,0.0,,0.0,,1.07876684098121,62.0,39.0,0.6290322580645161,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,42.0,,0.6666666666666666,,0.0,,0.0,,1.1738949211927685,63.0,41.0,0.6507936507936508,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,39.0,,0.6190476190476191,,0.0,,0.0,,1.27741160893374,63.0,40.0,0.6349206349206349,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,42.0,,0.6774193548387096,,0.0,,0.0,,1.390056630435602,62.0,41.0,0.6612903225806451,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,22.0,,0.7096774193548387,,31.0,,1.0,,1.64602248543222,31.0,12.0,0.3870967741935484,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,28.0,,0.9032258064516129,,31.0,,1.0,,1.7911724409886975,31.0,22.0,0.7096774193548387,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,29.0,,0.9354838709677419,,31.0,,1.0,,1.9491220452647464,31.0,14.0,0.45161290322580644,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,28.0,,0.9032258064516129,,31.0,,1.0,,2.121,31.0,20.0,0.6451612903225806,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,15.0,,1.0,,0.7070000000000001,15.0,10.0,0.6666666666666666,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,12.0,,1.0,,0.769344846128565,12.0,10.0,0.8333333333333334,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,12.0,,1.0,,0.837187400657122,12.0,7.0,0.5833333333333334,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,15.0,,1.0,,0.9110124638462896,15.0,9.0,0.6,True,,
